"Home","Score","Away","Score"
"Chicago Bulls",108,"Boston Celtics",85
"Golden State Warriors",111,"Portland Trail Blazers",104
"Houston Rockets",130,"New Orleans Pelicans",123
"Los Angeles Clippers",96,"Toronto Raptors",91
"Memphis Grizzlies",82,"Miami Heat",107
"Oklahoma City Thunder",103,"Charlotte Hornets",116
"Brooklyn Nets",103,"Washington Wizards",98
"Cleveland Cavaliers",123,"Atlanta Hawks",114
"Dallas Mavericks",95,"San Antonio Spurs",89
"Detroit Pistons",84,"Denver Nuggets",103
"Minnesota Timberwolves",112,"Philadelphia 76ers",118
"New York Knicks",113,"Los Angeles Lakers",109
"Sacramento Kings",99,"Phoenix Suns",92
"Boston Celtics",124,"Denver Nuggets",118
"Chicago Bulls",103,"Utah Jazz",100
"Houston Rockets",108,"Charlotte Hornets",96
"Indiana Pacers",95,"Oklahoma City Thunder",100
"Miami Heat",95,"Portland Trail Blazers",102
"New Orleans Pelicans",115,"Milwaukee Bucks",108
"Orlando Magic",95,"Los Angeles Clippers",106
"Phoenix Suns",109,"Toronto Raptors",115
"Washington Wizards",93,"Memphis Grizzlies",87
"Atlanta Hawks",91,"Detroit Pistons",105
"Brooklyn Nets",104,"New York Knicks",111
"Cleveland Cavaliers",121,"Los Angeles Lakers",112
"Golden State Warriors",112,"Dallas Mavericks",97
"Minnesota Timberwolves",119,"Sacramento Kings",96
"Boston Celtics",95,"Utah Jazz",107
"Charlotte Hornets",98,"Miami Heat",104
"Denver Nuggets",117,"New Orleans Pelicans",111
"Houston Rockets",124,"San Antonio Spurs",109
"Indiana Pacers",98,"Detroit Pistons",104
"Memphis Grizzlies",96,"Atlanta Hawks",94
"Milwaukee Bucks",109,"Chicago Bulls",115
"Orlando Magic",88,"Portland Trail Blazers",95
"Philadelphia 76ers",117,"Oklahoma City Thunder",119
"Toronto Raptors",120,"Brooklyn Nets",87
"Washington Wizards",100,"Los Angeles Clippers",91
"Charlotte Hornets",91,"Portland Trail Blazers",93
