"Home","Score","Away","Score"
"KCR",0,"CIN",7
"CHW",3,"CLE",2
"FLA",5,"SFG",4
"DET",5,"MIN",2
"PHI",2,"COL",7
"NYY",4,"WSN",5
"SEA",8,"ANA",6
"ARI",4,"PIT",5
"BAL",1,"BOS",5
"MIL",1,"CHC",0
"TBD",1,"TOR",0
"ATL",2,"NYM",0
"SEA",6,"ANA",3
"LAD",12,"TEX",5
"OAK",3,"HOU",6
"ARI",13,"PIT",8
"STL",2,"SDP",4
"KCR",1,"CIN",5
"MIL",4,"CHC",0
"CHW",5,"CLE",1
"ATL",8,"NYM",2
"TBD",4,"TOR",1
"FLA",3,"SFG",1
"DET",4,"MIN",6
"PHI",5,"COL",4
"NYY",3,"WSN",0
"BAL",4,"BOS",6
"SEA",5,"ANA",3
"ARI",9,"PIT",5
"STL",5,"SDP",2
"MIL",2,"CHC",7
"CHW",0,"CLE",4
"TBD",8,"TOR",4
"FLA",7,"SFG",5
"BAL",0,"BOS",2
"NYM",2,"NYY",0
"LAD",7,"ATL",2
"WSN",0,"SFG",2
"OAK",3,"KCR",2
"COL",3,"ARI",8
"TEX",7,"HOU",8
"CHC",1,"PIT",7
"MIN",7,"ANA",5
"PHI",4,"MIL",3
"TBD",4,"SEA",5
"FLA",1,"SDP",3
"DET",2,"CLE",9
"CIN",6,"STL",3
"TOR",13,"BAL",3
"BOS",2,"CHW",5
"LAD",3,"ATL",5
"TEX",3,"HOU",4
"NYM",3,"NYY",4
"COL",7,"ARI",12
"TBD",7,"SEA",3
"FLA",4,"SDP",5
"DET",4,"CLE",2
"CIN",4,"STL",6
"OAK",0,"KCR",2
"BOS",4,"CHW",2
"CHC",2,"PIT",0
"MIN",1,"ANA",2
"TOR",4,"BAL",3
"PHI",3,"MIL",12
"WSN",7,"SFG",5
"LAD",7,"ATL",3
"OAK",7,"KCR",2
"COL",4,"ARI",9
"MIN",2,"ANA",4
"TEX",3,"HOU",7
"TBD",3,"SEA",4
"NYM",1,"NYY",4
"FLA",4,"SDP",0
"DET",1,"CLE",4
"CIN",6,"STL",7
"BOS",0,"CHW",1
"TOR",5,"BAL",1
"WSN",5,"SFG",9
"PHI",4,"MIL",12
"CHC",3,"PIT",1
"OAK",4,"KCR",1
"TEX",2,"HOU",5
"TBD",4,"SEA",5
"TOR",5,"BAL",4
"BOS",2,"DET",7
"CHC",4,"PHI",3
"STL",4,"FLA",1
"MIN",7,"CHW",2
"PIT",7,"LAD",8
"CIN",7,"COL",5
"ANA",4,"KCR",3
"STL",3,"FLA",11
"MIN",2,"CHW",5
"HOU",7,"SEA",5
"TEX",8,"OAK",2
"CHC",7,"PHI",5
"CIN",3,"COL",6
"BOS",7,"DET",1
"TOR",0,"NYY",3
"PIT",11,"LAD",9
"SFG",5,"ARI",4
"SDP",3,"ATL",1
"NYM",0,"BAL",1
"CLE",3,"MIL",1
"WSN",11,"TBD",2
"SFG",2,"ARI",3
"SDP",1,"ATL",14
"ANA",1,"KCR",0
"STL",4,"FLA",7
"HOU",1,"SEA",7
"TEX",7,"OAK",4
"CHC",1,"PHI",6
"MIN",3,"CHW",6
"NYM",1,"BAL",2
"CLE",3,"MIL",2
"CIN",6,"COL",9
"BOS",6,"DET",0
"TOR",2,"NYY",7
"WSN",4,"TBD",2
"PIT",0,"LAD",5
"MIN",4,"CHW",2
"SDP",11,"ATL",4
"ANA",9,"KCR",6
"SFG",10,"ARI",3
"DET",4,"NYY",2
"DET",4,"NYY",7
"HOU",3,"BOS",9
"SDP",6,"CIN",3
"SEA",2,"TBD",1
"ARI",6,"FLA",1
"ANA",3,"TEX",1
"SFG",6,"PHI",1
"COL",7,"LAD",10
"STL",5,"PIT",0
"KCR",1,"OAK",5
