"Home","Score","Away","Score"
"Toronto Maple Leafs",1,"Arizona Coyotes",4
"Washington Capitals",1,"Calgary Flames",4
"Dallas Stars",3,"Montreal Canadiens",1
"Philadelphia Flyers",2,"Vancouver Canucks",5
"St. Louis Blues",8,"Edmonton Oilers",3
"Anaheim Ducks",2,"Vegas Golden Knights",4
"Arizona Coyotes",1,"San Jose Sharks",3
"Buffalo Sabres",4,"Minnesota Wild",5
"Carolina Hurricanes",1,"New York Rangers",6
"Columbus Blue Jackets",1,"Calgary Flames",0
"Colorado Avalanche",3,"Dallas Stars",0
"Detroit Red Wings",2,"Edmonton Oilers",6
"Florida Panthers",2,"Toronto Maple Leafs",1
"Los Angeles Kings",1,"Winnipeg Jets",2
"New Jersey Devils",2,"Boston Bruins",3
"Nashville Predators",3,"Montreal Canadiens",2
"New York Islanders",4,"Philadelphia Flyers",3
"Pittsburgh Penguins",2,"Vancouver Canucks",5
"Tampa Bay Lightning",3,"Chicago Blackhawks",2
"Washington Capitals",5,"Ottawa Senators",2
"Anaheim Ducks",1,"Winnipeg Jets",4
"Arizona Coyotes",3,"Los Angeles Kings",2
"Boston Bruins",4,"Pittsburgh Penguins",3
"Buffalo Sabres",3,"Edmonton Oilers",1
"Carolina Hurricanes",4,"Toronto Maple Leafs",5
"Columbus Blue Jackets",5,"Ottawa Senators",2
"Dallas Stars",6,"Calgary Flames",4
"Minnesota Wild",3,"Colorado Avalanche",2
"New Jersey Devils",3,"Vancouver Canucks",2
"New York Rangers",2,"Detroit Red Wings",1
"Philadelphia Flyers",4,"New York Islanders",5
"St. Louis Blues",0,"Nashville Predators",2
"Vegas Golden Knights",5,"San Jose Sharks",4
"Washington Capitals",3,"Tampa Bay Lightning",1
"Arizona Coyotes",2,"Vegas Golden Knights",4
"Colorado Avalanche",2,"Calgary Flames",3
"Detroit Red Wings",3,"New Jersey Devils",4
"Florida Panthers",1,"Chicago Blackhawks",4
"Los Angeles Kings",2,"Anaheim Ducks",1
"Montreal Canadiens",3,"Buffalo Sabres",0
"Ottawa Senators",1,"New York Islanders",2
"Pittsburgh Penguins",5,"Tampa Bay Lightning",2
"San Jose Sharks",4,"Winnipeg Jets",0
"St. Louis Blues",6,"Minnesota Wild",3
"Toronto Maple Leafs",2,"Washington Capitals",4
"Boston Bruins",2,"Edmonton Oilers",4
"Carolina Hurricanes",4,"Nashville Predators",3
"New York Rangers",4,"Vancouver Canucks",3
"Chicago Blackhawks",7,"Anaheim Ducks",3
"Montreal Canadiens",3,"Columbus Blue Jackets",1
"New Jersey Devils",2,"Florida Panthers",3
"Pittsburgh Penguins",5,"Philadelphia Flyers",4
"Winnipeg Jets",7,"Minnesota Wild",2
"Buffalo Sabres",0,"Tampa Bay Lightning",2
"Columbus Blue Jackets",3,"Carolina Hurricanes",2
"Calgary Flames",1,"Toronto Maple Leafs",4
"Detroit Red Wings",1,"Los Angeles Kings",4
"Edmonton Oilers",3,"Arizona Coyotes",2
"Nashville Predators",3,"Chicago Blackhawks",2
"New York Islanders",5,"Vancouver Canucks",2
"New York Rangers",4,"Florida Panthers",5
"Philadelphia Flyers",1,"San Jose Sharks",3
"Vegas Golden Knights",0,"Dallas Stars",3
"Boston Bruins",3,"Tampa Bay Lightning",2
"Colorado Avalanche",3,"Winnipeg Jets",2
"Montreal Canadiens",2,"Ottawa Senators",1
"St. Louis Blues",2,"Anaheim Ducks",3
"Calgary Flames",3,"Arizona Coyotes",0
"Chicago Blackhawks",3,"Dallas Stars",4
"Detroit Red Wings",3,"Montreal Canadiens",6
"Edmonton Oilers",4,"Toronto Maple Leafs",6
"Minnesota Wild",4,"Vegas Golden Knights",2
"Nashville Predators",3,"Vancouver Canucks",5
"Washington Capitals",2,"Los Angeles Kings",5
"Buffalo Sabres",0,"Pittsburgh Penguins",4
"Columbus Blue Jackets",4,"Anaheim Ducks",2
"Colorado Avalanche",1,"New Jersey Devils",2
"Florida Panthers",1,"San Jose Sharks",2
"New York Islanders",5,"Ottawa Senators",6
"New York Rangers",5,"Carolina Hurricanes",1
"St. Louis Blues",1,"Los Angeles Kings",4
"Winnipeg Jets",7,"Vegas Golden Knights",4
"Arizona Coyotes",5,"New Jersey Devils",0
"Carolina Hurricanes",3,"Florida Panthers",2
"Calgary Flames",5,"Edmonton Oilers",7
"Dallas Stars",3,"Chicago Blackhawks",2
"Minnesota Wild",2,"St. Louis Blues",1
"Montreal Canadiens",10,"Detroit Red Wings",1
"Nashville Predators",3,"Anaheim Ducks",2
"Philadelphia Flyers",0,"Boston Bruins",3
"Pittsburgh Penguins",5,"Buffalo Sabres",1
"Tampa Bay Lightning",5,"San Jose Sharks",2
"Vancouver Canucks",2,"Toronto Maple Leafs",1
"Washington Capitals",4,"Columbus Blue Jackets",3
"Chicago Blackhawks",1,"Los Angeles Kings",3
"Colorado Avalanche",2,"Dallas Stars",7
"Vegas Golden Knights",3,"Arizona Coyotes",2
"Winnipeg Jets",5,"Ottawa Senators",0
"Calgary Flames",2,"Philadelphia Flyers",5
"Florida Panthers",4,"New York Islanders",5
"Nashville Predators",5,"Boston Bruins",3
"Washington Capitals",4,"San Jose Sharks",1
"Columbus Blue Jackets",1,"New Jersey Devils",4
"Colorado Avalanche",2,"Buffalo Sabres",4
"Dallas Stars",2,"Nashville Predators",5
"Detroit Red Wings",5,"Winnipeg Jets",1
"Los Angeles Kings",5,"Minnesota Wild",2
"Montreal Canadiens",3,"St. Louis Blues",4
"Pittsburgh Penguins",3,"New York Rangers",4
"Tampa Bay Lightning",6,"New York Islanders",2
"Vancouver Canucks",3,"Carolina Hurricanes",0
"Vegas Golden Knights",4,"Anaheim Ducks",3
"Anaheim Ducks",3,"Ottawa Senators",0
"Edmonton Oilers",2,"Philadelphia Flyers",4
"Toronto Maple Leafs",2,"Calgary Flames",1
"Washington Capitals",6,"Chicago Blackhawks",2
"Boston Bruins",6,"Arizona Coyotes",1
